id	first_seen_utc	first_seen_confidence	observed_in_run	window_start_utc
5000	2026-08-31T03:58:20+00:00	unbounded	20260831T033020+0000	
5001	2026-08-31T03:58:17+00:00	unbounded	20260831T033020+0000	
5002	2026-08-31T03:58:15+00:00	unbounded	20260831T033020+0000	
5003	2026-08-31T03:58:13+00:00	unbounded	20260831T033020+0000	
5004	2026-08-31T03:58:11+00:00	unbounded	20260831T033020+0000	
5005	2026-08-31T03:58:09+00:00	unbounded	20260831T033020+0000	
5007	2026-08-31T03:58:05+00:00	unbounded	20260831T033020+0000	
5008	2026-08-31T03:58:02+00:00	unbounded	20260831T033020+0000	
5009	2026-08-31T03:58:01+00:00	unbounded	20260831T033020+0000	
5010	2026-08-31T03:57:58+00:00	unbounded	20260831T033020+0000	
5011	2026-08-31T03:57:56+00:00	unbounded	20260831T033020+0000	
5012	2026-08-31T03:57:55+00:00	unbounded	20260831T033020+0000	
5013	2026-08-31T03:57:52+00:00	unbounded	20260831T033020+0000	
5014	2026-08-31T03:57:51+00:00	unbounded	20260831T033020+0000	
5015	2026-08-31T03:57:49+00:00	unbounded	20260831T033020+0000	
5016	2026-08-31T03:57:47+00:00	unbounded	20260831T033020+0000	
5017	2026-08-31T03:57:45+00:00	unbounded	20260831T033020+0000	
5018	2026-08-31T03:57:43+00:00	unbounded	20260831T033020+0000	
5019	2026-08-31T03:57:41+00:00	unbounded	20260831T033020+0000	
5020	2026-08-31T03:57:39+00:00	unbounded	20260831T033020+0000	
5021	2026-08-31T03:57:37+00:00	unbounded	20260831T033020+0000	
5022	2026-08-31T03:57:35+00:00	unbounded	20260831T033020+0000	
5023	2026-08-31T03:57:33+00:00	unbounded	20260831T033020+0000	
5024	2026-08-31T03:57:31+00:00	unbounded	20260831T033020+0000	
5025	2026-08-31T03:57:29+00:00	unbounded	20260831T033020+0000	
5026	2026-08-31T03:57:27+00:00	unbounded	20260831T033020+0000	
5027	2026-08-31T03:57:25+00:00	unbounded	20260831T033020+0000	
5028	2026-08-31T03:57:23+00:00	unbounded	20260831T033020+0000	
5029	2026-08-31T03:57:21+00:00	unbounded	20260831T033020+0000	
5030	2026-08-31T03:57:19+00:00	unbounded	20260831T033020+0000	
5031	2026-08-31T03:57:17+00:00	unbounded	20260831T033020+0000	
5032	2026-08-31T03:57:15+00:00	unbounded	20260831T033020+0000	
5033	2026-08-31T03:57:13+00:00	unbounded	20260831T033020+0000	
5034	2026-08-31T03:57:11+00:00	unbounded	20260831T033020+0000	
5035	2026-08-31T03:57:09+00:00	unbounded	20260831T033020+0000	
5036	2026-08-31T03:57:07+00:00	unbounded	20260831T033020+0000	
5037	2026-08-31T03:57:05+00:00	unbounded	20260831T033020+0000	
5039	2026-08-31T03:57:01+00:00	unbounded	20260831T033020+0000	
5040	2026-08-31T03:56:59+00:00	unbounded	20260831T033020+0000	
5041	2026-08-31T03:56:57+00:00	unbounded	20260831T033020+0000	
5042	2026-08-31T03:56:55+00:00	unbounded	20260831T033020+0000	
5043	2026-08-31T03:56:53+00:00	unbounded	20260831T033020+0000	
5044	2026-08-31T03:56:51+00:00	unbounded	20260831T033020+0000	
5045	2026-08-31T03:56:49+00:00	unbounded	20260831T033020+0000	
5046	2026-08-31T03:56:47+00:00	unbounded	20260831T033020+0000	
5047	2026-08-31T03:56:45+00:00	unbounded	20260831T033020+0000	
5048	2026-08-31T03:56:43+00:00	unbounded	20260831T033020+0000	
5049	2026-08-31T03:56:41+00:00	unbounded	20260831T033020+0000	
5050	2026-08-31T03:56:39+00:00	unbounded	20260831T033020+0000	
5051	2026-08-31T03:56:37+00:00	unbounded	20260831T033020+0000	
5052	2026-08-31T03:56:35+00:00	unbounded	20260831T033020+0000	
5053	2026-08-31T03:56:33+00:00	unbounded	20260831T033020+0000	
5054	2026-08-31T03:56:31+00:00	unbounded	20260831T033020+0000	
5055	2026-08-31T03:56:29+00:00	unbounded	20260831T033020+0000	
5056	2026-08-31T03:56:27+00:00	unbounded	20260831T033020+0000	
5057	2026-08-31T03:56:25+00:00	unbounded	20260831T033020+0000	
5058	2026-08-31T03:56:23+00:00	unbounded	20260831T033020+0000	
5059	2026-08-31T03:56:20+00:00	unbounded	20260831T033020+0000	
5060	2026-08-31T03:56:18+00:00	unbounded	20260831T033020+0000	
5061	2026-08-31T03:56:16+00:00	unbounded	20260831T033020+0000	
5062	2026-08-31T03:56:14+00:00	unbounded	20260831T033020+0000	
